id,conversation_id,text,date,Segment,WC,Clout,Authentic,Tone,WPS,BigWords,Drives,affiliation,achieve,power,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,health,illness,wellness,mental,death
1322309038462406659,1322232403209949184,"@Ricospur11 @jeremy_hume @purts149 @jadil520 @piersmorgan Because selfish people don't want to follow 'draconian' rules which means infections rise, which in turn means hospitalizations rise",2020-10-30T22:46:56.000Z,1,25,7.28,96.32,1,25,36,4,0,0,4,4,0,4,0,0,0,0,0,0,0,8,8,0,0,0
1322308474965995520,1322232403209949184,@KarenWitts2 @aname_1011 @piersmorgan Yet your job will be safe.... until everyone else has lost theirs and we have no taxes to spend on the nhs,2020-10-30T22:44:42.000Z,1,26,98.04,2.93,20.23,13,11.54,3.85,3.85,0,0,7.69,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0
1322308335367000064,1322232403209949184,@piersmorgan It's easy for people who's livelihoods are not being destroyed to suggest we all just shut up.,2020-10-30T22:44:09.000Z,1,18,92.24,1.17,1,18,22.22,11.11,5.56,0,5.56,22.22,5.56,16.67,0,0,0,0,0,0,0,0,0,0,0,0
1322308208468381698,1322232403209949184,@KarenWitts2 @aname_1011 @piersmorgan Bollocks your not busy at all,2020-10-30T22:43:38.000Z,1,10,3.95,63.35,20.23,10,30,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1322308053895729163,1322232403209949184,@Carl_T_ @piersmorgan Mate hes defo on the dodgy payroll anyone with sense knows this is corrupt,2020-10-30T22:43:02.000Z,1,17,99,1.39,1,17,17.65,5.88,5.88,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
1322308031326146561,1322232403209949184,@piersmorgan https://t.co/rM25kZSn10,2020-10-30T22:42:56.000Z,1,6,40.06,1,1,6,33.33,0,0,0,0,16.67,0,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0
1322307155203162113,1322232403209949184,@piersmorgan Why?,2020-10-30T22:39:27.000Z,1,2,40.06,1,20.23,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322306359417884672,1322232403209949184,@piersmorgan Anyone not in line with your views is an idiot? How conceited and arrogant. Especially when you have lost perspective......,2020-10-30T22:36:18.000Z,1,21,88.15,97.09,1,7,23.81,0,0,0,0,19.05,0,14.29,0,0,0,0,0,0,4.76,0,0,0,0,0
1322306184657907712,1322232403209949184,@paulrinaldi147 @piersmorgan Paul quick question you believe all your theories about covid yet you believe in God as well so surely if there was a god he/she wouldn't allow something like this to happen?,2020-10-30T22:35:36.000Z,1,35,99,24.32,65.27,35,22.86,2.86,0,0,2.86,2.86,2.86,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0
1322306122611654657,1322232403209949184,@piersmorgan Is this guy a covidiot in your eyes too Piers? https://t.co/ot9JvDN7Me,2020-10-30T22:35:21.000Z,1,16,99,1.63,1,8,18.75,0,0,0,0,6.25,0,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,0
